pref_code,code,lg_code,parent_code,type,ja,ja_hira,en,zh-CN,zh-TW,ko,pt,vi
01,01218,012181,,city,赤平市,あかびらし,Akabira-shi,赤平市,赤平市,아카비라시,Acabira-xi,Xích Bình thị
01,01219,012190,,city,紋別市,もんべつし,Mombetsu-shi,纹别市,紋別市,몬베쓰시,Mombetçu-xi,Văn Biệt thị
01,01220,012203,,city,士別市,しべつし,Shibetsu-shi,士别市,士別市,시베쓰시,Xibetçu-xi,Sĩ Biệt thị
01,01221,012211,,city,名寄市,なよろし,Nayoro-shi,名寄市,名寄市,나요로시,Nayoro-xi,Danh Ký thị
01,01222,012220,,city,三笠市,みかさし,Mikasa-shi,三笠市,三笠市,미카사시,Micasa-xi,Tam Lạp thị
01,01223,012238,,city,根室市,ねむろし,Nemuro-shi,根室市,根室市,네무로시,Nemuro-xi,Căn Thất thị
01,01224,012246,,city,千歳市,ちとせし,Chitose-shi,千岁市,千歲市,지토세시,Xitose-xi,Thiên Tuế thị
01,01225,012254,,city,滝川市,たきかわし,Takikawa-shi,泷川市,瀧川市,다키카와시,Taquicawa-xi,Lũng Xuyên thị
01,01226,012262,,city,砂川市,すながわし,Sunagawa-shi,砂川市,砂川市,스나가와시,Sunagawa-xi,Sa Xuyên thị
01,01227,012270,,city,歌志内市,うたしないし,Utashinai-shi,歌志内市,歌志內市,우타시나이시,Utaxinai-xi,Ca Chí Nội thị
01,01228,012289,,city,深川市,ふかがわし,Fukagawa-shi,深川市,深川市,후카가와시,Fucagawa-xi,Thâm Xuyên thị
01,01229,012297,,city,富良野市,ふらのし,Furano-shi,富良野市,富良野市,후라노시,Furano-xi,Phú Lương Dã thị
01,01230,012300,,city,登別市,のぼりべつし,Noboribetsu-shi,登别市,登別市,노보리베쓰시,Noboribetçu-xi,Đăng Biệt thị
01,01231,012319,,city,恵庭市,えにわし,Eniwa-shi,惠庭市,惠庭市,에니와시,Eniwa-xi,Huệ Đình thị
01,01233,012335,,city,伊達市,だてし,Date-shi,伊达市,伊達市,다테시,Date-xi,Y Đạt thị
01,01234,012343,,city,北広島市,きたひろしまし,Kitahiroshima-shi,北广岛市,北廣島市,기타히로시마시,Quitahiroxima-xi,Bắc Quảng Đảo thị
01,01235,012351,,city,石狩市,いしかりし,Ishikari-shi,石狩市,石狩市,이시카리시,Ixicari-xi,Thạch Lạp thị
01,01236,012360,,city,北斗市,ほくとし,Hokuto-shi,北斗市,北斗市,호쿠토시,Hocuto-xi,Bắc Đẩu thị
01,01303,013030,,town,当別町,とうべつちょう,Tobetsu-cho,当别町,當別町,도베쓰정,Tōbetçu-xo,Đương Biệt đinh
01,01304,013048,,village,新篠津村,しんしのつむら,Shinshinotsu-mura,新篠津村,新篠津村,신시노쓰촌,Xinxinotçu-mura,Tân Tiểu Tân thôn
01,01331,013315,,town,松前町,まつまえちょう,Matsumae-cho,松前町,松前町,마쓰마에정,Matçumae-xo,Tùng Tiền đinh
01,01332,013323,,town,福島町,ふくしまちょう,Fukushima-cho,福岛町,福島町,후쿠시마정,Fucuxima-xo,Phúc Đảo đinh
01,01333,013331,,town,知内町,しりうちちょう,Shiriuchi-cho,知内町,知內町,시리우치정,Xiriuxi-xo,Tri Nội đinh
01,01334,013340,,town,木古内町,きこないちょう,Kikonai-cho,木古内町,木古內町,기코나이정,Quiconai-xo,Mộc Cổ Nội đinh
01,01337,013374,,town,七飯町,ななえちょう,Nanae-cho,七饭町,七飯町,나나에정,Nanae-xo,Thất Phi đinh
01,01343,013439,,town,鹿部町,しかべちょう,Shikabe-cho,鹿部町,鹿部町,시카베정,Xicabe-xo,Lộc Bộ đinh
01,01345,013455,,town,森町,もりまち,Mori-machi,森町,森町,모리정,Mori-maxi,Sâm đinh
01,01346,013463,,town,八雲町,やくもちょう,Yakumo-cho,八云町,八雲町,야쿠모정,Yacumo-xo,Bát Vân đinh
01,01347,013471,,town,長万部町,おしゃまんべちょう,Oshamambe-cho,长万部町,長萬部町,오샤만베정,Oxamambe-xo,Trường Vạn Bộ đinh
01,01361,013617,,town,江差町,えさしちょう,Esashi-cho,江差町,江差町,에사시정,Esaxi-xo,Giang Sai đinh
01,01362,013625,,town,上ノ国町,かみのくにちょう,Kaminokuni-cho,上之国町,上之國町,가미노쿠니정,Caminocuni-xo,Thượng Chi Quốc đinh
01,01363,013633,,town,厚沢部町,あっさぶちょう,Assabu-cho,厚泽部町,厚澤部町,앗사부정,Assabu-xo,Hậu Trạch Bộ đinh
01,01364,013641,,town,乙部町,おとべちょう,Otobe-cho,乙部町,乙部町,오토베정,Otobe-xo,Ất Bộ đinh
01,01367,013676,,town,奥尻町,おくしりちょう,Okushiri-cho,奥尻町,奧尻町,오쿠시리정,Ocuxiri-xo,Áo Tý đinh
01,01370,013706,,town,今金町,いまかねちょう,Imakane-cho,今金町,今金町,이마카네정,Imacane-xo,Kim Kim đinh
01,01371,013714,,town,せたな町,せたなちょう,Setana-cho,濑棚町,瀨棚町,세타나정,Setana-xo,Sai Na đinh
01,01391,013919,,village,島牧村,しままきむら,Shimamaki-mura,岛牧村,島牧村,시마마키촌,Ximamaqui-mura,Đảo Mục thôn
01,01392,013927,,town,寿都町,すっつちょう,Suttsu-cho,寿都町,壽都町,슷쓰정,Suttçu-xo,Thọ Đô đinh
01,01393,013935,,town,黒松内町,くろまつないちょう,Kuromatsunai-cho,黑松内町,黑松內町,구로마쓰나이정,Curomatçunai-xo,Hắc Tùng Nội đinh
01,01394,013943,,town,蘭越町,らんこしちょう,Rankoshi-cho,兰越町,蘭越町,란코시정,Rancoxi-xo,Lan Việt đinh
01,01395,013951,,town,ニセコ町,にせこちょう,Niseko-cho,新雪谷町,新雪谷町,니세코정,Niseco-xo,Ni Se Co đinh
01,01396,013960,,village,真狩村,まっかりむら,Makkari-mura,真狩村,真狩村,맛카리촌,Maccari-mura,Chân Thú thôn
01,01397,013978,,village,留寿都村,るすつむら,Rusutsu-mura,留寿都村,留壽都村,루스쓰촌,Rusutçu-mura,Lưu Thọ Đô thôn
01,01398,013986,,town,喜茂別町,きもべつちょう,Kimobetsu-cho,喜茂别町,喜茂別町,기모베쓰정,Quimobetçu-xo,Hỷ Mậu Biệt đinh
01,01399,013994,,town,京極町,きょうごくちょう,Kyogoku-cho,京极町,京極町,교고쿠정,Quiōgocu-xo,Kinh Cực đinh
01,01400,014001,,town,倶知安町,くっちゃんちょう,Kutchan-cho,俱知安町,俱知安町,굿찬정,Cucxan-xo,Câu Tri An đinh
01,01401,014010,,town,共和町,きょうわちょう,Kyowa-cho,共和町,共和町,교와정,Quiōwa-xo,Cộng Hòa đinh
01,01402,014028,,town,岩内町,いわないちょう,Iwanai-cho,岩内町,岩內町,이와나이정,Iwanai-xo,Nham Nội đinh
01,01403,014036,,village,泊村,とまりむら,Tomari-mura,泊村,泊村,도마리촌,Tomari-mura,Bạc thôn
01,01404,014044,,village,神恵内村,かもえないむら,Kamoenai-mura,神惠内村,神惠內村,가모에나이촌,Camoenai-mura,Thần Huệ Nội thôn
01,01405,014052,,town,積丹町,しゃこたんちょう,Shakotan-cho,积丹町,積丹町,샤코탄정,Xacotan-xo,Tích Đan đinh
01,01406,014060,,town,古平町,ふるびらちょう,Furubira-cho,古平町,古平町,후루비라정,Furubira-xo,Cổ Bình đinh
01,01407,014079,,town,仁木町,にきちょう,Niki-cho,仁木町,仁木町,니키정,Niqui-xo,Nhân Mộc đinh
01,01408,014087,,city,余市町,よいちちょう,Yoichi-cho,余市町,余市町,요이치정,Yoixi-xo,Dư Thị đinh
01,01409,014095,,village,赤井川村,あかいがわむら,Akaigawa-mura,赤井川村,赤井川村,아카이가와촌,Acaigawa-mura,Xích Tỉnh Xuyên thôn
01,01423,014230,,town,南幌町,なんぽろちょう,Nanporo-cho,南幌町,南幌町,난포로정,Namporo-xo,Nam Bát đinh
01,01424,014249,,town,奈井江町,ないえちょう,Naie-cho,奈井江町,奈井江町,나이에정,Naie-xo,Nại Tỉnh Giang đinh
01,01425,014257,,town,上砂川町,かみすながわちょう,Kamisunagawa-cho,上砂川町,上砂川町,가미스나가와정,Camisunagawa-xo,Thượng Sa Xuyên đinh
01,01427,014273,,town,由仁町,ゆにちょう,Yuni-cho,由仁町,由仁町,유니정,Yuni-xo,Do Nhân đinh
01,01428,014281,,town,長沼町,ながぬまちょう,Naganuma-cho,长沼町,長沼町,나가누마정,Naganuma-xo,Trường Chiểu đinh
01,01429,014290,,town,栗山町,くりやまちょう,Kuriyama-cho,栗山町,栗山町,구리야마정,Curiyama-xo,Lật Sơn đinh
01,01430,014303,,town,月形町,つきがたちょう,Tsukigata-cho,月形町,月形町,쓰키가타정,Tçuquigata-xo,Nguyệt Hình đinh
01,01431,014311,,town,浦臼町,うらうすちょう,Urausu-cho,浦臼町,浦臼町,우라우스정,Urausu-xo,Phổ Cữu đinh
01,01432,014320,,town,新十津川町,しんとつかわちょう,Shintotsukawa-cho,新十津川町,新十津川町,신토쓰카와정,Xintotçucawa-xo,Tân Thập Tân Xuyên đinh
01,01433,014338,,town,妹背牛町,もせうしちょう,Moseushi-cho,妹背牛町,妹背牛町,모세우시정,Moseuxi-xo,Muội Bối Ngưu đinh
01,01434,014346,,town,秩父別町,ちっぷべつちょう,Chippubetsu-cho,秩父别町,秩父別町,짓푸베쓰정,Xippubetçu-xo,Trật Phụ Biệt đinh
01,01436,014362,,town,雨竜町,うりゅうちょう,Uryu-cho,雨龙町,雨龍町,우류정,Uryū-xo,Vũ Long đinh
01,01437,014370,,town,北竜町,ほくりゅうちょう,Hokuryu-cho,北龙町,北龍町,호쿠류정,Hocuryū-xo,Bắc Long đinh
01,01438,014389,,town,沼田町,ぬまたちょう,Numata-cho,沼田町,沼田町,누마타정,Numata-xo,Chiểu Điền đinh
01,01452,014524,,town,鷹栖町,たかすちょう,Takasu-cho,鹰栖町,鷹栖町,다카스정,Tacasu-xo,Ưng Thê đinh
01,01453,014532,,town,東神楽町,ひがしかぐらちょう,Higashikagura-cho,东神乐町,東神樂町,히가시카구라정,Higaxicagura-xo,Đông Thần Nhạc đinh
01,01454,014540,,town,当麻町,とうまちょう,Toma-cho,当麻町,當麻町,도마정,Tōma-xo,Đương Ma đinh
01,01455,014559,,town,比布町,ぴっぷちょう,Pippu-cho,比布町,比布町,핏푸정,Pippu-xo,Tỷ Bố đinh
01,01456,014567,,town,愛別町,あいべつちょう,Aibetsu-cho,爱别町,愛別町,아이베쓰정,Aibetçu-xo,Ái Biệt đinh
01,01457,014575,,town,上川町,かみかわちょう,Kamikawa-cho,上川町,上川町,가미카와정,Camicawa-xo,Thượng Xuyên đinh
01,01458,014583,,town,東川町,ひがしかわちょう,Higashikawa-cho,东川町,東川町,히가시카와정,Higaxicawa-xo,Đông Xuyên đinh
01,01459,014591,,town,美瑛町,びえいちょう,Biei-cho,美瑛町,美瑛町,비에이정,Biei-xo,Mỹ Anh đinh
01,01460,014605,,town,上富良野町,かみふらのちょう,Kamifurano-cho,上富良野町,上富良野町,가미후라노정,Camifurano-xo,Thượng Phú Lương Dã đinh
01,01461,014613,,town,中富良野町,なかふらのちょう,Nakafurano-cho,中富良野町,中富良野町,나카후라노정,Nacafurano-xo,Trung Phú Lương Dã đinh
01,01462,014621,,town,南富良野町,みなみふらのちょう,Minamifurano-cho,南富良野町,南富良野町,미나미후라노정,Minamifurano-xo,Nam Phú Lương Dã đinh
01,01463,014630,,village,占冠村,しむかっぷむら,Shimukappu-mura,占冠村,占冠村,시무캇푸촌,Ximucappu-mura,Chiếm Quan thôn
01,01464,014648,,town,和寒町,わっさむちょう,Wassamu-cho,和寒町,和寒町,왓사무정,Wassamu-xo,Hòa Hàn đinh
01,01465,014656,,town,剣淵町,けんぶちちょう,Kembuchi-cho,剑渊町,劍淵町,겐부치정,Quembuxi-xo,Kiếm Uyên đinh
01,01468,014680,,town,下川町,しもかわちょう,Shimokawa-cho,下川町,下川町,시모카와정,Ximocawa-xo,Hạ Xuyên đinh
01,01469,014699,,town,美深町,びふかちょう,Bifuka-cho,美深町,美深町,비후카정,Bifuca-xo,Mỹ Thâm đinh
01,01470,014702,,village,音威子府村,おといねっぷむら,Otoineppu-mura,音威子府村,音威子府村,오토이넷푸촌,Otoineppu-mura,Âm Uy Tử Phủ thôn
01,01471,014710,,town,中川町,なかがわちょう,Nakagawa-cho,中川町,中川町,나카가와정,Nacagawa-xo,Trung Xuyên đinh
01,01472,014729,,town,幌加内町,ほろかないちょう,Horokanai-cho,幌加内町,幌加內町,호로카나이정,Horocanai-xo,U Gia Nội đinh
01,01481,014818,,town,増毛町,ましけちょう,Mashike-cho,增毛町,增毛町,마시케정,Maxique-xo,Tăng Mao đinh
01,01482,014826,,town,小平町,おびらちょう,Obira-cho,小平町,小平町,오비라정,Obira-xo,Tiểu Bình đinh
01,01483,014834,,town,苫前町,とままえちょう,Tomamae-cho,苫前町,苫前町,도마마에정,Tomamae-xo,Thổ Tiền đinh
01,01484,014842,,town,羽幌町,はぼろちょう,Haboro-cho,羽幌町,羽幌町,하보로정,Haboro-xo,Vũ Phách đinh
01,01485,014850,,village,初山別村,しょさんべつむら,Shosanbetsu-mura,初山别村,初山別村,쇼산베쓰촌,Xosambetçu-mura,Sơ Sơn Biệt thôn
01,01486,014869,,town,遠別町,えんべつちょう,Embetsu-cho,远别町,遠別町,엔베쓰정,Embetçu-xo,Viễn Biệt đinh
01,01487,014877,,town,天塩町,てしおちょう,Teshio-cho,天盐町,天鹽町,데시오정,Texio-xo,Thiên Tốc đinh
01,01511,015113,,village,猿払村,さるふつむら,Sarufutsu-mura,猿拂村,猿拂村,사루후쓰촌,Sarufutçu-mura,Viên Phất thôn
01,01512,015121,,town,浜頓別町,はまとんべつちょう,Hamatonbetsu-cho,滨顿别町,濱頓別町,하마톤베쓰정,Hamatombetçu-xo,Tân Đốn Biệt đinh
01,01513,015130,,town,中頓別町,なかとんべつちょう,Nakatonbetsu-cho,中顿别町,中頓別町,나카톤베쓰정,Nacatombetçu-xo,Trung Đốn Biệt đinh
01,01514,015148,,town,枝幸町,えさしちょう,Esashi-cho,枝幸町,枝幸町,에사시정,Esaxi-xo,Chi Hạnh đinh
01,01516,015164,,town,豊富町,とよとみちょう,Toyotomi-cho,丰富町,豐富町,도요토미정,Toyotomi-xo,Phong Phú đinh
01,01517,015172,,town,礼文町,れぶんちょう,Rebun-cho,礼文町,禮文町,레분정,Rebun-xo,Lễ Văn đinh
01,01518,015180,,town,利尻町,りしりちょう,Rishiri-cho,利尻町,利尻町,리시리정,Rixiri-xo,Lợi Tử đinh
01,01519,015199,,town,利尻富士町,りしりふじちょう,Rishirifuji-cho,利尻富士町,利尻富士町,리시리후지정,Rixirifuji-xo,Lợi Tử Phú Sĩ đinh
01,01520,015202,,town,幌延町,ほろのべちょう,Horonobe-cho,幌延町,幌延町,호로노베정,Horonobe-xo,U Diên đinh
01,01543,015431,,town,美幌町,びほろちょう,Bihoro-cho,美幌町,美幌町,비호로정,Bihoro-xo,Bạch Lão đinh
01,01544,015440,,town,津別町,つべつちょう,Tsubetsu-cho,津别町,津別町,쓰베쓰정,Tçubetçu-xo,Hậu Chân đinh
01,01545,015458,,town,斜里町,しゃりちょう,Shari-cho,斜里町,斜里町,샤리정,Xari-xo,Tà Lý đinh
01,01546,015466,,town,清里町,きよさとちょう,Kiyosato-cho,清里町,清里町,기요사토정,Quiyosato-xo,Động Gia Hồ đinh
01,01547,015474,,town,小清水町,こしみずちょう,Koshimizu-cho,小清水町,小清水町,고시미즈정,Coximizu-xo,An Bình đinh
01,01549,015490,,town,訓子府町,くんねっぷちょう,Kunneppu-cho,训子府町,訓子府町,군넷푸정,Cunneppu-xo,Mu Ca Oa đinh
01,01550,015504,,town,置戸町,おけとちょう,Oketo-cho,置户町,置戶町,오케토정,Oqueto-xo,Trí Hộ đinh
01,01552,015520,,town,佐呂間町,さろまちょう,Saroma-cho,佐吕间町,佐呂間町,사로마정,Saroma-xo,Tá Lư Gian đinh
01,01555,015555,,town,遠軽町,えんがるちょう,Engaru-cho,远轻町,遠輕町,엔가루정,Engaru-xo,Viễn Khinh đinh
01,01559,015598,,town,湧別町,ゆうべつちょう,Yubetsu-cho,涌别町,湧別町,유베쓰정,Yūbetçu-xo,Nhật Cao đinh
01,01560,015601,,town,滝上町,たきのうえちょう,Takinoue-cho,泷上町,瀧上町,다키노우에정,Taquinōe-xo,Bình Thủ đinh
01,01561,015610,,town,興部町,おこっぺちょう,Okoppe-cho,兴部町,興部町,오콧페정,Ocoppe-xo,Tân Quan đinh
01,01562,015628,,village,西興部村,にしおこっぺむら,Nishiokoppe-mura,西兴部村,西興部村,니시오콧페촌,Nixiocoppe-mura,Phổ Hà đinh
01,01563,015636,,town,雄武町,おうむちょう,Omu-cho,雄武町,雄武町,오무정,Ōmu-xo,Dạng Tự đinh
01,01564,015644,,town,大空町,おおぞらちょう,Ozora-cho,大空町,大空町,오조라정,Ōzora-xo,Ơ Lý Mô đinh
01,01571,015717,,town,豊浦町,とようらちょう,Toyoura-cho,丰浦町,豐浦町,도요우라정,Toyōra-xo,Phong Phổ đinh
01,01575,015750,,town,壮瞥町,そうべつちょう,Sobetsu-cho,壮瞥町,壯瞥町,소베쓰정,Sōbetçu-xo,Tráng Miệt đinh
01,01578,015784,,town,白老町,しらおいちょう,Shiraoi-cho,白老町,白老町,시라오이정,Xiraoi-xo,Bạch Lão đinh
01,01581,015814,,town,厚真町,あつまちょう,Atsuma-cho,厚真町,厚真町,아쓰마정,Atçuma-xo,Âm Cánh đinh
01,01584,015849,,town,洞爺湖町,とうやこちょう,Toyako-cho,洞爷湖町,洞爺湖町,도야코정,Tōyaco-xo,Lộc Truy đinh
01,01585,015857,,town,安平町,あびらちょう,Abira-cho,安平町,安平町,아비라정,Abira-xo,Tân Đắc đinh
01,01586,015865,,town,むかわ町,むかわちょう,Mukawa-cho,鹉川町,鵡川町,무카와정,Mucawa-xo,Thanh Thủy đinh
01,01601,016012,,town,日高町,ひだかちょう,Hidaka-cho,日高町,日高町,히다카정,Hidaca-xo,Nhật Cao đinh
01,01602,016020,,town,平取町,びらとりちょう,Biratori-cho,平取町,平取町,비라토리정,Biratori-xo,Bình Thủ đinh
01,01604,016047,,town,新冠町,にいかっぷちょう,Niikappu-cho,新冠町,新冠町,니캇푸정,Niicappu-xo,Tân Quan đinh
01,01607,016071,,town,浦河町,うらかわちょう,Urakawa-cho,浦河町,浦河町,우라카와정,Uracawa-xo,Phổ Hà đinh
01,01608,016080,,town,様似町,さまにちょう,Samani-cho,样似町,樣似町,사마니정,Samani-xo,Dạng Tự đinh
01,01609,016098,,town,えりも町,えりもちょう,Erimo-cho,襟裳町,襟裳町,에리모정,Erimo-xo,Ơ Lý Mô đinh
01,01610,016101,,town,新ひだか町,しんひだかちょう,Shinhidaka-cho,新日高町,新日高町,신히다카정,Xinhidaca-xo,Tân Nhật Cao đinh
01,01631,016314,,town,音更町,おとふけちょう,Otofuke-cho,音更町,音更町,오토후케정,Otofuque-xo,Khuyến Lộ đinh
01,01632,016322,,town,士幌町,しほろちょう,Shihoro-cho,士幌町,士幌町,시호로정,Xihoro-xo,Hậu Ngạn đinh
01,01633,016330,,town,上士幌町,かみしほろちょう,Kamishihoro-cho,上士幌町,上士幌町,가미시호로정,Camixihoro-xo,Tân Trung đinh
01,01634,016349,,town,鹿追町,しかおいちょう,Shikaoi-cho,鹿追町,鹿追町,시카오이정,Xicaoi-xo,Tiêu Trà đinh
01,01635,016357,,town,新得町,しんとくちょう,Shintoku-cho,新得町,新得町,신토쿠정,Xintocu-xo,Đệ Tử Khuất đinh
01,01636,016365,,town,清水町,しみずちょう,Shimizu-cho,清水町,清水町,시미즈정,Ximizu-xo,Hạc Cư thôn
01,01637,016373,,town,芽室町,めむろちょう,Memuro-cho,芽室町,芽室町,메무로정,Memuro-xo,Bạch Khiêu đinh
01,01638,016381,,village,中札内村,なかさつないむら,Nakasatsunai-mura,中札内村,中札內村,나카사쓰나이촌,Nacasatçunai-mura,Trung Trát Nội thôn
01,01639,016390,,village,更別村,さらべつむら,Sarabetsu-mura,更别村,更別村,사라베쓰촌,Sarabetçu-mura,Canh Biệt thôn
01,01641,016411,,town,大樹町,たいきちょう,Taiki-cho,大树町,大樹町,다이키정,Taiqui-xo,Đại Thụ đinh
01,01642,016420,,town,広尾町,ひろおちょう,Hiroo-cho,广尾町,廣尾町,히로오정,Hirō-xo,Quảng Vĩ đinh
01,01643,016438,,town,幕別町,まくべつちょう,Makubetsu-cho,幕别町,幕別町,마쿠베쓰정,Macubetçu-xo,U Biệt đinh
01,01644,016446,,town,池田町,いけだちょう,Ikeda-cho,池田町,池田町,이케다정,Iqueda-xo,Trì Điền đinh
01,01645,016454,,town,豊頃町,とよころちょう,Toyokoro-cho,丰顷町,豐頃町,도요코로정,Toyocoro-xo,Phong Khoảnh đinh
01,01646,016462,,town,本別町,ほんべつちょう,Honbetsu-cho,本别町,本別町,혼베쓰정,Hombetçu-xo,Bản Biệt đinh
01,01647,016470,,town,足寄町,あしょろちょう,Ashoro-cho,足寄町,足寄町,아쇼로정,Axoro-xo,Túc Ký đinh
01,01648,016489,,town,陸別町,りくべつちょう,Rikubetsu-cho,陆别町,陸別町,리쿠베쓰정,Ricubetçu-xo,Lục Biệt đinh
01,01649,016497,,town,浦幌町,うらほろちょう,Urahoro-cho,浦幌町,浦幌町,우라호로정,Urahoro-xo,Phổ U đinh
01,01661,016616,,town,釧路町,くしろちょう,Kushiro-cho,钏路町,釧路町,구시로정,Cuxiro-xo,Khuyến Lộ đinh
01,01662,016624,,town,厚岸町,あっけしちょう,Akkeshi-cho,厚岸町,厚岸町,앗케시정,Acquexi-xo,Hậu Ngạn đinh
01,01663,016632,,town,浜中町,はまなかちょう,Hamanaka-cho,滨中町,濱中町,하마나카정,Hamanaca-xo,Tân Trung đinh
01,01664,016640,,town,標茶町,しべちゃちょう,Shibecha-cho,标茶町,標茶町,시베차정,Xibexa-xo,Tiêu Trà đinh
01,01665,016659,,town,弟子屈町,てしかがちょう,Teshikaga-cho,弟子屈町,弟子屈町,데시카가정,Texicaga-xo,Đệ Tử Khuất đinh
01,01667,016675,,village,鶴居村,つるいむら,Tsurui-mura,鹤居村,鶴居村,쓰루이촌,Tçurui-mura,Hạc Cư thôn
01,01668,016683,,town,白糠町,しらぬかちょう,Shiranuka-cho,白糠町,白糠町,시라누카정,Xiranuca-xo,Bạch Khiêu đinh
01,01691,016918,,town,別海町,べつかいちょう,Betsukai-cho,别海町,別海町,베쓰카이정,Betçucai-xo,Biệt Hải đinh
01,01692,016926,,town,中標津町,なかしべつちょう,Nakashibetsu-cho,中标津町,中標津町,나카시베쓰정,Nacaxibetçu-xo,Trung Tiêu Tân đinh
01,01693,016934,,town,標津町,しべつちょう,Shibetsu-cho,标津町,標津町,시베쓰정,Xibetçu-xo,Tiêu Tân đinh
01,01694,016942,,town,羅臼町,らうすちょう,Rausu-cho,罗臼町,羅臼町,라우스정,Rausu-xo,La Thần đinh
01,01695,016950,,village,色丹村,しこたんむら,Shikotan-mura,色丹村,色丹村,시코탄촌,Xicotan-mura,Sắc Đan thôn
01,01696,016969,,village,泊村（国後郡）,とまりむら,Tomari-mura (Kunashiri-gun),泊村（国后郡）,泊村（國後郡）,도마리촌 (구나시리군),Tomari-mura,Bạc thôn (Quốc Hậu quận)
01,01697,016977,,village,留夜別村,るやべつむら,Ruyabetsu-mura,留夜别村,留夜別村,루요베쓰촌,Ruyabetçu-mura,Lưu Dạ Biệt thôn
01,01698,016985,,village,留別村,るべつむら,Rubetsu-mura,留别村,留別村,루베쓰촌,Rubetçu-mura,Lưu Biệt thôn
01,01699,016993,,village,紗那村,しゃなむら,Shana-mura,纱那村,紗那村,샤나촌,Xana-mura,Sa Na thôn
01,01700,017000,,village,蘂取村,しべとろむら,Shibetoro-mura,蘂取村,蘂取村,시베토로촌,Xibetoro-mura,Nhị Thủ thôn
02,02201,022012,,city,青森市,あおもりし,Aomori-shi,青森市,青森市,아오모리시,Aomori-xi,Thanh Sâm thị
